	annus	mes	observaciones	codigo	 titulo	 unidad	 fuente	 notas	fecha	valor
276	2019	1	                3285,76000						1/2019	3285.8
277	2019	2	                3289,05000						2/2019	3289.0
278	2019	3	                3255,09000						3/2019	3255.1
279	2019	4	                3163,57000						4/2019	3163.6
280	2019	5	                3079,49000						5/2019	3079.5
281	2019	6	                3015,69000						6/2019	3015.7
282	2019	7	                3011,44000						7/2019	3011.4
283	2019	8	                3065,81000						8/2019	3065.8
284	2019	9	                3079,71000						9/2019	3079.7
285	2019	10	                3177,66000						10/2019	3177.7
286	2019	11	                3198,19000						11/2019	3198.2
287	2019	12	                3163,61000						12/2019	3163.6
288	2020	1	                3253,85000						1/2020	3253.8
289	2020	2	                3246,05000						2/2020	3246.0
290	2020	3	                3548,31000						3/2020	3548.3
291	2020	4	                3831,20000						4/2020	3831.2
292	2020	5	                3857,77600						5/2020	3857.8
293	2020	6	                3862,88300						6/2020	3862.9
294	2020	7	                3773,03400						7/2020	3773.0
295	2020	8	                3802,81400						8/2020	3802.8
296	2020	9	                3776,48500						9/2020	3776.5
297	2020	10	                3826,04300						10/2020	3826.0
298	2020	11	                3851,31200						11/2020	3851.3
299	2020	12	                3888,13700						12/2020	3888.1
300	2021	1	                3964,35300						1/2021	3964.4
301	2021	2	                4008,78900						2/2021	4008.8
302	2021	3	                3949,64000						3/2021	3949.6
303	2021	4	                3910,62800						4/2021	3910.6
304	2021	5	                3781,25000						5/2021	3781.2
305	2021	6	                3614,33900						6/2021	3614.3
306	2021	7	                3416,49800						7/2021	3416.5
307	2021	8	                3333,91500						8/2021	3333.9
308	2021	9	                3257,80200						9/2021	3257.8
309	2021	10	                3257,06800						10/2021	3257.1
310	2021	11	                3182,68700						11/2021	3182.7
311	2021	12	                3105,90500						12/2021	3105.9
312	2022	1	                3123,07800						1/2022	3123.1
313	2022	2	                3111,68400						2/2022	3111.7
314	2022	3	                3108,76300						3/2022	3108.8
315	2022	4	                3022,50300						4/2022	3022.5
316	2022	5	                2922,99100						5/2022	2923.0
317	2022	6	                2880,58200						6/2022	2880.6
318	2022	7	                2883,81200						7/2022	2883.8
319	2022	8	                2924,24000						8/2022	2924.2
320	2022	9	                2941,91900						9/2022	2941.9
321	2022	10	                2914,89200						10/2022	2914.9
322	2022	11	                2881,38000						11/2022	2881.4
323	2022	12	                2837,65300						12/2022	2837.7
324	2023	1	                2908,39700						1/2023	2908.4
325	2023	2	                2911,01500						2/2023	2911.0
326	2023	3	                2862,26000						3/2023	2862.3
327	2023	4	                2788,37000						4/2023	2788.4
328	2023	5	                2739,11000						5/2023	2739.1
329	2023	6	                2688,84200						6/2023	2688.8
330	2023	7	                2677,87400						7/2023	2677.9
331	2023	8	                2702,70000						8/2023	2702.7
332	2023	9	                2722,46800						9/2023	2722.5
333	2023	10	                2759,40400						10/2023	2759.4
334	2023	11	                2734,83100						11/2023	2734.8
335	2023	12	                2707,45600						12/2023	2707.5
336	2024	1	                2767,86000						1/2024	2767.9
337	2024	2	                2760,40800						2/2024	2760.4
338	2024	3	                2727,00300						3/2024	2727.0
339	2024	4	                2666,50000						4/2024	2666.5
340	2024	5	                2607,85000						5/2024	2607.8
341	2024	6	                2561,06700						6/2024	2561.1
342	0	0							0/0	
